analysis	network	component	condition_contrast	design_contrast	direction	inference	design_con_valid	group_input_exists	expected_participants	group_input_volumes	group_input_complete	tstat_exists	corrp_exists	peak_corrp	peak_gt_threshold	status	corrp_file	copied_image	copied_sidecar	roi_values_tsv
smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.5456	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0006	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.9358	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0004	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.7086	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.5254	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	rtpj-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.5198	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	rtpj-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.9816	true	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat2.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnEcnPpiComp0011RtpjMinusVlpfcNegativeClusterExtentCorrp_stat-corrp_statmap.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnEcnPpiComp0011RtpjMinusVlpfcNegativeClusterExtentCorrp_stat-corrp_statmap.json	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnEcnPpiComp0011RtpjMinusVlpfcNegativeClusterExtentCorrp_stat-stage2Beta_timeseries.tsv
smith09_ppi-dmn-ecn	dmn-x-ecn	11	rtpj-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.2578	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	rtpj-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0462	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	vlpfc-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.556	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	vlpfc-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.299	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.9752	true	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat1.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnEcnPpiComp0011BothMinusMeanRtpjVlpfcPositiveClusterExtentCorrp_stat-corrp_statmap.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnEcnPpiComp0011BothMinusMeanRtpjVlpfcPositiveClusterExtentCorrp_stat-corrp_statmap.json	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnEcnPpiComp0011BothMinusMeanRtpjVlpfcPositiveClusterExtentCorrp_stat-stage2Beta_timeseries.tsv
smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.5158	false	ok	derivatives/fsl/dual-regression_smith09_denoised_ppi-dmn-ecn.dr/contrasts/component-0011_stat-beta/randomise/task-rest_component-0011_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat2.nii.gz			
